Welcome Back!,மீண்டும் வரவேற்கிறோம்!
Invalid start,தவறான தொடக்கம்
Invalid window,தவறான சாளரம்
Inventory,சரக்கு
Is compound,கூட்டுத்தானா
Its rates will be removed too. This cannot be undone.,அதன் விகிதங்களும் அகற்றப்படும். இதை மீட்டெடுக்க முடியாது.
Languages,மொழிகள்
Layers,அடுக்குகள்
Layout,அமைப்பு
Leave,வெளியேறு
Leave a country's list empty to cover the whole country. Add provinces to restrict shipping to specific regions.,முழு நாட்டையும் உள்ளடக்க ஒரு நாட்டின் பட்டியலை வெறுமையாக விடவும். குறிப்பிட்ட பகுதிகளுக்கு அனுப்புதலைக் கட்டுப்படுத்த மாகாணங்களைச் சேர்க்கவும்.
Leaving now may drop the most recent edits that haven’t reached the server yet.,இப்போது வெளியேறினால் சேவையகத்தை இன்னும் அடையாத சமீபத்திய திருத்தங்கள் இழக்கப்படலாம்.
Length,நீளம்
Length is required,நீளம் தேவை
Length must be greater than 0,நீளம் 0 ஐ விட அதிகமாக இருக்க வேண்டும்
Live,நேரடி
Loading...,ஏற்றுகிறது...
Long text,நீண்ட உரை
Lower values appear first.,குறைந்த மதிப்புகள் முதலில் தோன்றும்.
Manage Stock,இருப்பை நிர்வகி
Manage general information about the collection.,தொகுப்பு பற்றிய பொதுவான தகவலை நிர்வகிக்கவும்.
